tweet_id,text,created_at,lang,user_id_hashed,retweet_count,like_count,comment_count,is_reply,is_retweet,is_quote,urls
1902824994809278711,,2025-03-20 20:50:00,en,58cc83f5b80cb53c,46857,626479,25167,False,False,False,[]
1902744570674184318,,2025-03-20 15:30:00,en,58cc83f5b80cb53c,19883,109416,3651,False,False,False,[]
1902649365140779050,,2025-03-20 09:12:00,en,58cc83f5b80cb53c,13087,103500,4525,False,False,False,[]
1902646798704923035,,2025-03-20 09:02:00,en,58cc83f5b80cb53c,5172,37400,3569,False,False,False,[]
1902644956201726108,"My @DOGE office with the late great Kekius Maximus on the wall
open.spotify.com/track/6OLge…",2025-03-20 08:54:00,en,58cc83f5b80cb53c,1658,14705,1171,False,False,False,"[""https://nitter.net/DOGE"", ""https://open.spotify.com/track/6OLgebma3uuh5KDG5ZXjF5?si=3W9-_PlpTn6Mey07xhRHng&context=spotify%3Aplaylist%3A37i9dQZF1DWVdDMUimLXxx""]"
1902642908609532004,"Remember when the Overton Window was shut tight af?

Wasn’t that long ago 😂",2025-03-20 08:46:00,en,58cc83f5b80cb53c,7665,90450,3338,False,False,False,[]
1902642215928656206,,2025-03-20 08:43:00,en,58cc83f5b80cb53c,56780,719435,26568,False,False,False,[]
1902603121970368731,,2025-03-20 06:08:00,en,58cc83f5b80cb53c,17582,98981,4792,False,False,False,[]
1902598145357308372,Reservoir @DOGE,2025-03-20 05:48:00,af,58cc83f5b80cb53c,25260,253824,17360,False,False,False,"[""https://nitter.net/DOGE""]"
1902594516751937988,,2025-03-20 05:34:00,en,58cc83f5b80cb53c,6745,44969,2725,False,False,False,[]
1902591787404857839,,2025-03-20 05:23:00,en,58cc83f5b80cb53c,6494,37525,2533,False,False,False,[]
1902590609681981908,,2025-03-20 05:18:00,en,58cc83f5b80cb53c,4567,27094,1318,False,False,False,[]
1902580143882637615,,2025-03-20 04:37:00,en,58cc83f5b80cb53c,17420,106777,3859,False,False,False,[]
1902564961307488532,,2025-03-20 03:36:00,en,58cc83f5b80cb53c,9120,55457,2745,False,False,False,[]
1902518955463328185,,2025-03-20 00:34:00,en,58cc83f5b80cb53c,13863,66089,4345,False,False,False,[]
